task,model,prompt_id,output_format,n,strict_accuracy,equivalence_aware_accuracy,scorer_recovered_rate,both_wrong_rate,both_right_rate,accuracy_delta_equiv_minus_strict
gsm8k,gpt-5-mini,direct_answer_only,answer_only,100,0.91,0.96,0.05,0.04,0.91,0.04999999999999993
gsm8k,gpt-5-mini,direct_json,json,100,0.92,0.97,0.05,0.03,0.92,0.04999999999999993
gsm8k,gpt-5-mini,direct_sentence,sentence,100,0.91,0.96,0.05,0.04,0.91,0.04999999999999993
gsm8k,gpt-5-mini,direct_tagged,tagged,100,0.91,0.96,0.05,0.04,0.91,0.04999999999999993
gsm8k,gpt-5-mini,formal_answer_only,answer_only,100,0.9,0.97,0.07,0.03,0.9,0.06999999999999995
gsm8k,gpt-5-mini,formal_json,json,100,0.9,0.95,0.05,0.05,0.9,0.04999999999999993
gsm8k,gpt-5-mini,formal_sentence,sentence,100,0.93,0.97,0.04,0.03,0.93,0.039999999999999925
gsm8k,gpt-5-mini,formal_tagged,tagged,100,0.91,0.96,0.05,0.04,0.91,0.04999999999999993
gsm8k,gpt-5-nano,direct_answer_only,answer_only,100,0.92,0.95,0.03,0.05,0.92,0.029999999999999916
gsm8k,gpt-5-nano,direct_json,json,100,0.92,0.95,0.03,0.05,0.92,0.029999999999999916
gsm8k,gpt-5-nano,direct_sentence,sentence,100,0.92,0.94,0.02,0.06,0.92,0.019999999999999907
gsm8k,gpt-5-nano,direct_tagged,tagged,100,0.93,0.95,0.02,0.05,0.93,0.019999999999999907
gsm8k,gpt-5-nano,formal_answer_only,answer_only,100,0.92,0.95,0.03,0.05,0.92,0.029999999999999916
gsm8k,gpt-5-nano,formal_json,json,100,0.9,0.92,0.02,0.08,0.9,0.020000000000000018
gsm8k,gpt-5-nano,formal_sentence,sentence,100,0.95,0.96,0.01,0.04,0.95,0.010000000000000009
gsm8k,gpt-5-nano,formal_tagged,tagged,100,0.97,0.98,0.01,0.02,0.97,0.010000000000000009
trec6,gpt-5-mini,direct_answer_only,answer_only,100,0.89,0.89,0.0,0.11,0.89,0.0
trec6,gpt-5-mini,direct_json,json,100,0.88,0.88,0.0,0.12,0.88,0.0
trec6,gpt-5-mini,direct_sentence,sentence,100,0.84,0.84,0.0,0.16,0.84,0.0
trec6,gpt-5-mini,direct_tagged,tagged,100,0.88,0.88,0.0,0.12,0.88,0.0
trec6,gpt-5-mini,formal_answer_only,answer_only,100,0.89,0.89,0.0,0.11,0.89,0.0
trec6,gpt-5-mini,formal_json,json,100,0.89,0.89,0.0,0.11,0.89,0.0
trec6,gpt-5-mini,formal_sentence,sentence,100,0.88,0.88,0.0,0.12,0.88,0.0
trec6,gpt-5-mini,formal_tagged,tagged,100,0.89,0.89,0.0,0.11,0.89,0.0
trec6,gpt-5-nano,direct_answer_only,answer_only,100,0.84,0.84,0.0,0.16,0.84,0.0
trec6,gpt-5-nano,direct_json,json,100,0.86,0.86,0.0,0.14,0.86,0.0
trec6,gpt-5-nano,direct_sentence,sentence,100,0.86,0.86,0.0,0.14,0.86,0.0
trec6,gpt-5-nano,direct_tagged,tagged,100,0.89,0.89,0.0,0.11,0.89,0.0
trec6,gpt-5-nano,formal_answer_only,answer_only,100,0.85,0.85,0.0,0.15,0.85,0.0
trec6,gpt-5-nano,formal_json,json,100,0.87,0.87,0.0,0.13,0.87,0.0
trec6,gpt-5-nano,formal_sentence,sentence,100,0.89,0.89,0.0,0.11,0.89,0.0
trec6,gpt-5-nano,formal_tagged,tagged,100,0.92,0.92,0.0,0.08,0.92,0.0
