task,model,prompt_id,output_format,n,rule_equiv_rate,judge_equiv_rate,judge_parse_failure_rate,rule_judge_agreement,judge_recovers_rule_misses,judge_rejects_rule_recoveries
gsm8k,gpt-5-mini,direct_answer_only,answer_only,9,0.5555555555555556,0.5555555555555556,0.0,1.0,0,0
gsm8k,gpt-5-mini,direct_json,json,8,0.625,0.625,0.0,1.0,0,0
gsm8k,gpt-5-mini,direct_sentence,sentence,9,0.5555555555555556,0.5555555555555556,0.0,1.0,0,0
gsm8k,gpt-5-mini,direct_tagged,tagged,9,0.5555555555555556,0.5555555555555556,0.0,1.0,0,0
gsm8k,gpt-5-mini,formal_answer_only,answer_only,10,0.7,0.7,0.0,1.0,0,0
gsm8k,gpt-5-mini,formal_json,json,10,0.5,0.5,0.0,1.0,0,0
gsm8k,gpt-5-mini,formal_sentence,sentence,7,0.5714285714285714,0.5714285714285714,0.0,1.0,0,0
gsm8k,gpt-5-mini,formal_tagged,tagged,9,0.5555555555555556,0.5555555555555556,0.0,1.0,0,0
gsm8k,gpt-5-nano,direct_answer_only,answer_only,8,0.375,0.375,0.0,1.0,0,0
gsm8k,gpt-5-nano,direct_json,json,8,0.375,0.375,0.0,1.0,0,0
gsm8k,gpt-5-nano,direct_sentence,sentence,8,0.25,0.25,0.0,1.0,0,0
gsm8k,gpt-5-nano,direct_tagged,tagged,7,0.2857142857142857,0.2857142857142857,0.0,1.0,0,0
gsm8k,gpt-5-nano,formal_answer_only,answer_only,8,0.375,0.375,0.0,1.0,0,0
gsm8k,gpt-5-nano,formal_json,json,10,0.2,0.2,0.0,1.0,0,0
gsm8k,gpt-5-nano,formal_sentence,sentence,5,0.2,0.2,0.0,1.0,0,0
gsm8k,gpt-5-nano,formal_tagged,tagged,3,0.3333333333333333,0.3333333333333333,0.0,1.0,0,0
trec6,gpt-5-mini,direct_answer_only,answer_only,11,0.0,0.0,0.0,1.0,0,0
trec6,gpt-5-mini,direct_json,json,12,0.0,0.0,0.0,1.0,0,0
trec6,gpt-5-mini,direct_sentence,sentence,16,0.0,0.0,0.0,1.0,0,0
trec6,gpt-5-mini,direct_tagged,tagged,12,0.0,0.0,0.0,1.0,0,0
trec6,gpt-5-mini,formal_answer_only,answer_only,11,0.0,0.0,0.0,1.0,0,0
trec6,gpt-5-mini,formal_json,json,11,0.0,0.0,0.0,1.0,0,0
trec6,gpt-5-mini,formal_sentence,sentence,12,0.0,0.0,0.0,1.0,0,0
trec6,gpt-5-mini,formal_tagged,tagged,11,0.0,0.0,0.0,1.0,0,0
trec6,gpt-5-nano,direct_answer_only,answer_only,16,0.0,0.0,0.0,1.0,0,0
trec6,gpt-5-nano,direct_json,json,14,0.0,0.0,0.0,1.0,0,0
trec6,gpt-5-nano,direct_sentence,sentence,14,0.0,0.0,0.0,1.0,0,0
trec6,gpt-5-nano,direct_tagged,tagged,11,0.0,0.0,0.0,1.0,0,0
trec6,gpt-5-nano,formal_answer_only,answer_only,15,0.0,0.0,0.0,1.0,0,0
trec6,gpt-5-nano,formal_json,json,13,0.0,0.0,0.0,1.0,0,0
trec6,gpt-5-nano,formal_sentence,sentence,11,0.0,0.0,0.0,1.0,0,0
trec6,gpt-5-nano,formal_tagged,tagged,8,0.0,0.0,0.0,1.0,0,0
