task,model,scorer,prompt_id,accuracy
gsm8k,gpt-5-mini,equivalence_aware,direct_answer_only,0.96
gsm8k,gpt-5-mini,equivalence_aware,direct_json,0.97
gsm8k,gpt-5-mini,equivalence_aware,direct_sentence,0.96
gsm8k,gpt-5-mini,equivalence_aware,direct_tagged,0.96
gsm8k,gpt-5-mini,equivalence_aware,formal_answer_only,0.97
gsm8k,gpt-5-mini,equivalence_aware,formal_json,0.95
gsm8k,gpt-5-mini,equivalence_aware,formal_sentence,0.97
gsm8k,gpt-5-mini,equivalence_aware,formal_tagged,0.96
gsm8k,gpt-5-mini,strict,direct_answer_only,0.91
gsm8k,gpt-5-mini,strict,direct_json,0.92
gsm8k,gpt-5-mini,strict,direct_sentence,0.91
gsm8k,gpt-5-mini,strict,direct_tagged,0.91
gsm8k,gpt-5-mini,strict,formal_answer_only,0.9
gsm8k,gpt-5-mini,strict,formal_json,0.9
gsm8k,gpt-5-mini,strict,formal_sentence,0.93
gsm8k,gpt-5-mini,strict,formal_tagged,0.91
gsm8k,gpt-5-nano,equivalence_aware,direct_answer_only,0.95
gsm8k,gpt-5-nano,equivalence_aware,direct_json,0.95
gsm8k,gpt-5-nano,equivalence_aware,direct_sentence,0.94
gsm8k,gpt-5-nano,equivalence_aware,direct_tagged,0.95
gsm8k,gpt-5-nano,equivalence_aware,formal_answer_only,0.95
gsm8k,gpt-5-nano,equivalence_aware,formal_json,0.92
gsm8k,gpt-5-nano,equivalence_aware,formal_sentence,0.96
gsm8k,gpt-5-nano,equivalence_aware,formal_tagged,0.98
gsm8k,gpt-5-nano,strict,direct_answer_only,0.92
gsm8k,gpt-5-nano,strict,direct_json,0.92
gsm8k,gpt-5-nano,strict,direct_sentence,0.92
gsm8k,gpt-5-nano,strict,direct_tagged,0.93
gsm8k,gpt-5-nano,strict,formal_answer_only,0.92
gsm8k,gpt-5-nano,strict,formal_json,0.9
gsm8k,gpt-5-nano,strict,formal_sentence,0.95
gsm8k,gpt-5-nano,strict,formal_tagged,0.97
trec6,gpt-5-mini,equivalence_aware,direct_answer_only,0.89
trec6,gpt-5-mini,equivalence_aware,direct_json,0.88
trec6,gpt-5-mini,equivalence_aware,direct_sentence,0.84
trec6,gpt-5-mini,equivalence_aware,direct_tagged,0.88
trec6,gpt-5-mini,equivalence_aware,formal_answer_only,0.89
trec6,gpt-5-mini,equivalence_aware,formal_json,0.89
trec6,gpt-5-mini,equivalence_aware,formal_sentence,0.88
trec6,gpt-5-mini,equivalence_aware,formal_tagged,0.89
trec6,gpt-5-mini,strict,direct_answer_only,0.89
trec6,gpt-5-mini,strict,direct_json,0.88
trec6,gpt-5-mini,strict,direct_sentence,0.84
trec6,gpt-5-mini,strict,direct_tagged,0.88
trec6,gpt-5-mini,strict,formal_answer_only,0.89
trec6,gpt-5-mini,strict,formal_json,0.89
trec6,gpt-5-mini,strict,formal_sentence,0.88
trec6,gpt-5-mini,strict,formal_tagged,0.89
trec6,gpt-5-nano,equivalence_aware,direct_answer_only,0.84
trec6,gpt-5-nano,equivalence_aware,direct_json,0.86
trec6,gpt-5-nano,equivalence_aware,direct_sentence,0.86
trec6,gpt-5-nano,equivalence_aware,direct_tagged,0.89
trec6,gpt-5-nano,equivalence_aware,formal_answer_only,0.85
trec6,gpt-5-nano,equivalence_aware,formal_json,0.87
trec6,gpt-5-nano,equivalence_aware,formal_sentence,0.89
trec6,gpt-5-nano,equivalence_aware,formal_tagged,0.92
trec6,gpt-5-nano,strict,direct_answer_only,0.84
trec6,gpt-5-nano,strict,direct_json,0.86
trec6,gpt-5-nano,strict,direct_sentence,0.86
trec6,gpt-5-nano,strict,direct_tagged,0.89
trec6,gpt-5-nano,strict,formal_answer_only,0.85
trec6,gpt-5-nano,strict,formal_json,0.87
trec6,gpt-5-nano,strict,formal_sentence,0.89
trec6,gpt-5-nano,strict,formal_tagged,0.92
