task,model,scorer,wording,output_format,accuracy
gsm8k,gpt-5-mini,equivalence_aware,direct,answer_only,0.96
gsm8k,gpt-5-mini,equivalence_aware,direct,json,0.97
gsm8k,gpt-5-mini,equivalence_aware,direct,sentence,0.96
gsm8k,gpt-5-mini,equivalence_aware,direct,tagged,0.96
gsm8k,gpt-5-mini,equivalence_aware,formal,answer_only,0.97
gsm8k,gpt-5-mini,equivalence_aware,formal,json,0.95
gsm8k,gpt-5-mini,equivalence_aware,formal,sentence,0.97
gsm8k,gpt-5-mini,equivalence_aware,formal,tagged,0.96
gsm8k,gpt-5-mini,strict,direct,answer_only,0.91
gsm8k,gpt-5-mini,strict,direct,json,0.92
gsm8k,gpt-5-mini,strict,direct,sentence,0.91
gsm8k,gpt-5-mini,strict,direct,tagged,0.91
gsm8k,gpt-5-mini,strict,formal,answer_only,0.9
gsm8k,gpt-5-mini,strict,formal,json,0.9
gsm8k,gpt-5-mini,strict,formal,sentence,0.93
gsm8k,gpt-5-mini,strict,formal,tagged,0.91
gsm8k,gpt-5-nano,equivalence_aware,direct,answer_only,0.95
gsm8k,gpt-5-nano,equivalence_aware,direct,json,0.95
gsm8k,gpt-5-nano,equivalence_aware,direct,sentence,0.94
gsm8k,gpt-5-nano,equivalence_aware,direct,tagged,0.95
gsm8k,gpt-5-nano,equivalence_aware,formal,answer_only,0.95
gsm8k,gpt-5-nano,equivalence_aware,formal,json,0.92
gsm8k,gpt-5-nano,equivalence_aware,formal,sentence,0.96
gsm8k,gpt-5-nano,equivalence_aware,formal,tagged,0.98
gsm8k,gpt-5-nano,strict,direct,answer_only,0.92
gsm8k,gpt-5-nano,strict,direct,json,0.92
gsm8k,gpt-5-nano,strict,direct,sentence,0.92
gsm8k,gpt-5-nano,strict,direct,tagged,0.93
gsm8k,gpt-5-nano,strict,formal,answer_only,0.92
gsm8k,gpt-5-nano,strict,formal,json,0.9
gsm8k,gpt-5-nano,strict,formal,sentence,0.95
gsm8k,gpt-5-nano,strict,formal,tagged,0.97
trec6,gpt-5-mini,equivalence_aware,direct,answer_only,0.89
trec6,gpt-5-mini,equivalence_aware,direct,json,0.88
trec6,gpt-5-mini,equivalence_aware,direct,sentence,0.84
trec6,gpt-5-mini,equivalence_aware,direct,tagged,0.88
trec6,gpt-5-mini,equivalence_aware,formal,answer_only,0.89
trec6,gpt-5-mini,equivalence_aware,formal,json,0.89
trec6,gpt-5-mini,equivalence_aware,formal,sentence,0.88
trec6,gpt-5-mini,equivalence_aware,formal,tagged,0.89
trec6,gpt-5-mini,strict,direct,answer_only,0.89
trec6,gpt-5-mini,strict,direct,json,0.88
trec6,gpt-5-mini,strict,direct,sentence,0.84
trec6,gpt-5-mini,strict,direct,tagged,0.88
trec6,gpt-5-mini,strict,formal,answer_only,0.89
trec6,gpt-5-mini,strict,formal,json,0.89
trec6,gpt-5-mini,strict,formal,sentence,0.88
trec6,gpt-5-mini,strict,formal,tagged,0.89
trec6,gpt-5-nano,equivalence_aware,direct,answer_only,0.84
trec6,gpt-5-nano,equivalence_aware,direct,json,0.86
trec6,gpt-5-nano,equivalence_aware,direct,sentence,0.86
trec6,gpt-5-nano,equivalence_aware,direct,tagged,0.89
trec6,gpt-5-nano,equivalence_aware,formal,answer_only,0.85
trec6,gpt-5-nano,equivalence_aware,formal,json,0.87
trec6,gpt-5-nano,equivalence_aware,formal,sentence,0.89
trec6,gpt-5-nano,equivalence_aware,formal,tagged,0.92
trec6,gpt-5-nano,strict,direct,answer_only,0.84
trec6,gpt-5-nano,strict,direct,json,0.86
trec6,gpt-5-nano,strict,direct,sentence,0.86
trec6,gpt-5-nano,strict,direct,tagged,0.89
trec6,gpt-5-nano,strict,formal,answer_only,0.85
trec6,gpt-5-nano,strict,formal,json,0.87
trec6,gpt-5-nano,strict,formal,sentence,0.89
trec6,gpt-5-nano,strict,formal,tagged,0.92
