task,model,prompt_id,output_format,n,completion_rate,empty_output_rate,avg_input_tokens,avg_output_tokens,avg_reasoning_tokens,avg_total_tokens
gsm8k,gpt-5-mini,direct_answer_only,answer_only,100,1.0,0.0,79.95,200.79,160.0,280.74
gsm8k,gpt-5-mini,direct_json,json,100,1.0,0.0,82.95,249.32,204.8,332.27
gsm8k,gpt-5-mini,direct_sentence,sentence,100,1.0,0.0,82.95,245.57,200.96,328.52
gsm8k,gpt-5-mini,direct_tagged,tagged,100,1.0,0.0,85.95,212.22,167.04,298.17
gsm8k,gpt-5-mini,formal_answer_only,answer_only,100,1.0,0.0,87.95,206.51,170.88,294.46
gsm8k,gpt-5-mini,formal_json,json,100,1.0,0.0,90.95,241.87,197.12,332.82
gsm8k,gpt-5-mini,formal_sentence,sentence,100,1.0,0.0,90.95,230.27,188.8,321.22
gsm8k,gpt-5-mini,formal_tagged,tagged,100,1.0,0.0,93.95,201.07,157.44,295.02
gsm8k,gpt-5-nano,direct_answer_only,answer_only,100,1.0,0.0,79.95,414.42,374.4,494.37
gsm8k,gpt-5-nano,direct_json,json,100,1.0,0.0,82.95,542.36,497.28,625.31
gsm8k,gpt-5-nano,direct_sentence,sentence,100,1.0,0.0,82.95,476.86,435.84,559.81
gsm8k,gpt-5-nano,direct_tagged,tagged,100,1.0,0.0,85.95,431.69,383.36,517.64
gsm8k,gpt-5-nano,formal_answer_only,answer_only,100,1.0,0.0,87.95,387.18,350.08,475.13
gsm8k,gpt-5-nano,formal_json,json,100,1.0,0.0,90.95,525.82,480.0,616.77
gsm8k,gpt-5-nano,formal_sentence,sentence,100,1.0,0.0,90.95,469.02,426.24,559.97
gsm8k,gpt-5-nano,formal_tagged,tagged,100,1.0,0.0,93.95,425.46,381.44,519.41
trec6,gpt-5-mini,direct_answer_only,answer_only,100,1.0,0.0,51.41,139.96,105.6,191.37
trec6,gpt-5-mini,direct_json,json,100,1.0,0.0,55.41,160.24,115.2,215.65
trec6,gpt-5-mini,direct_sentence,sentence,100,1.0,0.0,55.41,148.74,106.24,204.15
trec6,gpt-5-mini,direct_tagged,tagged,100,1.0,0.0,58.41,151.67,105.6,210.08
trec6,gpt-5-mini,formal_answer_only,answer_only,100,1.0,0.0,55.41,115.03,80.64,170.44
trec6,gpt-5-mini,formal_json,json,100,1.0,0.0,59.41,132.3,88.32,191.71
trec6,gpt-5-mini,formal_sentence,sentence,100,1.0,0.0,59.41,142.27,100.48,201.68
trec6,gpt-5-mini,formal_tagged,tagged,100,1.0,0.0,62.48,132.69,89.6,195.17
trec6,gpt-5-nano,direct_answer_only,answer_only,100,1.0,0.0,51.41,368.46,329.6,419.87
trec6,gpt-5-nano,direct_json,json,100,1.0,0.0,55.41,408.74,366.08,464.15
trec6,gpt-5-nano,direct_sentence,sentence,100,1.0,0.0,55.41,420.08,378.88,475.49
trec6,gpt-5-nano,direct_tagged,tagged,100,1.0,0.0,58.41,417.7,371.2,476.11
trec6,gpt-5-nano,formal_answer_only,answer_only,100,1.0,0.0,55.41,371.07,333.44,426.48
trec6,gpt-5-nano,formal_json,json,100,1.0,0.0,59.41,423.28,376.96,482.69
trec6,gpt-5-nano,formal_sentence,sentence,100,1.0,0.0,59.41,468.27,421.12,527.68
trec6,gpt-5-nano,formal_tagged,tagged,100,1.0,0.0,62.41,421.46,373.12,483.87
