index,task,model,scorer,example_id,mean,min,max,example_prompt_sensitivity
0,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0000,1.0,1.0,1.0,0.0
1,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0001,1.0,1.0,1.0,0.0
2,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0002,1.0,1.0,1.0,0.0
3,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0003,0.0,0.0,0.0,0.0
4,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0004,1.0,1.0,1.0,0.0
5,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0005,1.0,1.0,1.0,0.0
6,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0006,1.0,1.0,1.0,0.0
7,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0007,1.0,1.0,1.0,0.0
8,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0008,1.0,1.0,1.0,0.0
9,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0009,1.0,1.0,1.0,0.0
10,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0010,1.0,1.0,1.0,0.0
11,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0011,1.0,1.0,1.0,0.0
12,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0012,1.0,1.0,1.0,0.0
13,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0013,1.0,1.0,1.0,0.0
14,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0014,1.0,1.0,1.0,0.0
15,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0015,0.0,0.0,0.0,0.0
16,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0016,1.0,1.0,1.0,0.0
17,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0017,1.0,1.0,1.0,0.0
18,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0018,1.0,1.0,1.0,0.0
19,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0019,1.0,1.0,1.0,0.0
20,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0020,1.0,1.0,1.0,0.0
21,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0021,1.0,1.0,1.0,0.0
22,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0022,1.0,1.0,1.0,0.0
23,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0023,1.0,1.0,1.0,0.0
24,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0024,1.0,1.0,1.0,0.0
25,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0025,0.375,0.0,1.0,1.0
26,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0026,1.0,1.0,1.0,0.0
27,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0027,1.0,1.0,1.0,0.0
28,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0028,1.0,1.0,1.0,0.0
29,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0029,1.0,1.0,1.0,0.0
30,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0030,1.0,1.0,1.0,0.0
31,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0031,0.0,0.0,0.0,0.0
32,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0032,1.0,1.0,1.0,0.0
33,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0033,1.0,1.0,1.0,0.0
34,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0034,1.0,1.0,1.0,0.0
35,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0035,1.0,1.0,1.0,0.0
36,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0036,1.0,1.0,1.0,0.0
37,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0037,1.0,1.0,1.0,0.0
38,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0038,1.0,1.0,1.0,0.0
39,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0039,1.0,1.0,1.0,0.0
40,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0040,1.0,1.0,1.0,0.0
41,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0041,1.0,1.0,1.0,0.0
42,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0042,1.0,1.0,1.0,0.0
43,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0043,1.0,1.0,1.0,0.0
44,gsm8k,gpt-5-mini,equivalence_aware,gsm8k_0044,1.0,1.0,1.0,0.0
